,place,location,point,lat,lon
1501,"Wald, Duchy of Berg",,,,
1506,Curacoa (off the coast of Venezuela),,,,
1507,"Niew Amsterdam, NY",,,,
1508,"Halwegen, Segesvar, Transylvania",,,,
1509,"Theosophical Community, Wissahickon, PA",,,,
1515,"Wieringerweert, North Holland",,,,
1516,Schoorl and Bergen,,,,
1517,Rensselaerwyck for six years,,,,
1518,"Montrose, Cortlandttown (Westchester) NY",,,,
1523,Middleburg (Schoharie) NY,,,,
1531,"Itamacus, Brazil",,,,
1532,Niew Amersfoordt,,,,
1536,"Lynville's Creek (Rockingham), VA",,,,
1538,JOHN ANDREAS FRIEDERICHS ( Friderici),,,,
1543,Head of Elk River (Cecil) MD,,,,
1544,"Carlisle, York and Huntington, in PA",,,,
1545,"Rector, St John's Parish (Caroline) MD",,,,
1546,"ViceProvost, U of PA",,,,
1548,Leaves Delaware,,,,
1552,"Loebejuen, Germany",,,,
1556,"Washington, lyej-i-j^j",,,,
1557,"Oberingelheim, PAlatinate, Germany",,,,
1560,"Pampisford, co Cambridgeay",,,,
1567,"St John's River, New Brunswick, Canada",,,,
1571,Wallkil,,,,
1573,"Vice Près,",,,,
1575,"Krumberg, Bohemia",,,,
1576,Auston Spa NY,,,,
1578,"St Croix, West Indies",,,,
1582,Fairfield (Cumberiand) NJ,,,,
1588,"Hunter's, Mount Bethel (Northampton) PA",,,,
1591,"Woodbrick, co York",,,,
1592,"Ardsley, near Wakefield, York",,,,
1596,"Page's, N J",,,,
1597,"Greenwich, England, June",,,,
1599,Mariborough (Ulster) NY,,,,
1602,"Frosthuelt and Hernevi, Sweden",,,,
1603,"Tarbert, Argyleshire, Scotland",,,,
1604,Springfield (York) PA,,,,
1605,"Windecken, Hanau",,,,
1606,Solms Hohenzollern Germany,,,,
1607,Niederweissel Germany,,,,
1611,"Luedorff, Unter Pfaltz, Germany",,,,
1617,"Maxatawny, at Bower's",,,,
1630,"H^anover, St Michael's",,,,
1636,Brecknock (East Cocalico) PA,,,,
1638,"Freudenberg, NassauSiegen, Germany",,,,
